ACC,LOSS
0.11672053268953701,2.742042018743662
0.8280635489272224,0.764315533974996
0.8459950936490012,0.6311185567920597
0.8575795335072621,0.5707493018429153
0.8724543436782056,0.5275946817587739
0.8804758381682957,0.5019572249172085
0.8846423425879054,0.4801668014915642
0.8882831665433589,0.47965138767841337
0.8913593707410148,0.48756627176371137
0.8962851913866282,0.470046714263526
0.8998091974611581,0.46647529407129124
0.9011915423854211,0.4387616894547335
0.9003348779253144,0.46404028907000316
0.9026322962501461,0.46669516719505555
0.9019119193177836,0.4573467893387249
0.9018535103773218,0.4637194422817954
0.9029243409524551,0.4597858196470968
0.8981737471282271,0.5069359499173205
0.9028854016588139,0.46481420742721186
0.9036836571784588,0.47613857048923636
0.9069156185506795,0.4642227642085167
